trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.3, 'e': 0.3395955256449391}",25,0,38.86760175748006,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.3, 'e': 0.3362164937067333}",20,6,-15.696920554351923,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.3, 'e': 0.33287108369807955}",30,16,30.57225701154256,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.3, 'e': 0.32955896107518906}",25,15,-28.856475787229023,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.3, 'e': 0.32627979462303947}",20,15,4.205538874504968,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.3, 'e': 0.3230332564222529}",20,10,6.9794710533720306,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.3, 'e': 0.31981902181630384}",20,4,-4.476286360312941,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.3, 'e': 0.31663676937905316}",20,5,27.178523579868656,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.3, 'e': 0.3134861808826053}",30,8,26.8917376164246,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.3, 'e': 0.31036694126548503}",20,0,25.86749082477126,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.3, 'e': 0.30727873860113125}",25,13,-3.463482451901458,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.3, 'e': 0.3042212640667041}",20,5,-32.628330794778215,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.3, 'e': 0.30119421191220214}",25,17,14.643266540562937,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.3, 'e': 0.2981972794298874}",20,10,-5.61986765421892,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.3, 'e': 0.2952301669240142}",25,10,20.273156547922408,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.3, 'e': 0.2922925776808594}",25,13,20.336205773360533,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.3, 'e': 0.2893842179390506}",25,16,5.87574837356585,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.3, 'e': 0.2865047968601901}",20,8,-54.70471063230424,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
126,False,"{'a': 0.3, 'e': 0.2836540264997704}",25,9,28.036611917116694,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.2808316217783798}",30,16,26.06514227707071,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.3, 'e': 0.27803730045319414}",30,14,12.592577958878227,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.27527078308975234}",30,20,0.6932564662230851,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.3, 'e': 0.2725317930340126}",30,23,11.836613012267783,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.3, 'e': 0.2698200563846868}",25,11,15.973861364044389,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.3, 'e': 0.26713530196585034}",20,14,10.744008110158441,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.3, 'e': 0.26447726129982396}",30,12,21.429480953189202,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
